station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Ruhland,2024-06-24 07:00:00,5.000000,13.870004,51.455319,0.333333,0.166667,7.000000,2024-06-24,7,0,Brandenburg,Ruhland,20.050000,False
Altglienicke,2024-06-26 07:00:00,4.000000,13.558753,52.407299,0.250000,0.166667,7.000000,2024-06-26,7,2,Berlin,Berlin,24.100000,False
Dabendorf,2024-06-23 20:00:00,5.000000,13.437290,52.237332,0.500000,0.500000,20.000000,2024-06-23,20,6,Brandenburg,Zossen,18.800000,False
Berlin-Schöneweide Pbf,2024-06-25 17:00:00,3.000000,13.509395,52.455127,1.666667,1.000000,17.000000,2024-06-25,17,1,Berlin,Berlin,24.200000,False
Schöneberg,2024-06-26 00:00:00,4.000000,13.352068,52.479377,0.862069,0.827586,0.000000,2024-06-26,0,2,Berlin,Berlin,18.950000,False
Zepernick (b Bernau),2024-06-23 21:00:00,5.000000,13.533642,52.659449,0.000000,0.000000,21.000000,2024-06-23,21,6,Brandenburg,Panketal,15.950000,False
Berlin-Grünau,2024-06-25 04:00:00,4.000000,13.573497,52.413028,0.000000,0.000000,4.000000,2024-06-25,4,1,Berlin,Berlin,15.250000,False
Berlin-Spindlersfeld,2024-06-24 19:00:00,5.000000,13.561448,52.447162,0.000000,0.000000,19.000000,2024-06-24,19,0,Berlin,Berlin,20.900000,False
Sedlitz Ost,2024-06-24 01:00:00,5.000000,14.055252,51.553101,0.000000,0.000000,1.000000,2024-06-24,1,0,Brandenburg,Senftenberg,10.300000,False
Berlin-Schönholz,2024-06-25 11:00:00,4.000000,13.381111,52.571422,0.333333,0.250000,11.000000,2024-06-25,11,1,Berlin,Berlin,25.850000,False
Löwenberg (Mark),2024-06-25 22:00:00,5.000000,13.190055,52.896801,0.000000,0.000000,22.000000,2024-06-25,22,1,Brandenburg,Löwenberger Land-Löwenbe ,17.650000,False
Berlin-Schöneweide Pbf,2024-06-24 15:00:00,3.000000,13.509395,52.455127,1.750000,1.500000,15.000000,2024-06-24,15,0,Berlin,Berlin,24.400000,False
Treptower Park,2024-06-27 14:00:00,4.000000,13.461441,52.493559,0.880952,0.880952,14.000000,2024-06-27,14,3,Berlin,Berlin,29.900000,False
Neustadt (Dosse),2024-06-24 21:00:00,5.000000,12.450667,52.852677,0.500000,0.500000,21.000000,2024-06-24,21,0,Brandenburg,Neustadt (Dosse),18.050000,False
Hoppegarten (Mark),2024-06-27 03:00:00,4.000000,13.672956,52.518122,0.000000,0.000000,3.000000,2024-06-27,3,3,Brandenburg,Hoppegarten,20.100000,False
Berlin Ostkreuz,2024-06-24 19:00:00,2.000000,13.469105,52.503037,0.600000,0.550000,19.000000,2024-06-24,19,0,Berlin,Berlin,21.350000,False
Brandenburg Hbf,2024-06-23 14:00:00,3.000000,12.566138,52.400554,0.000000,0.000000,14.000000,2024-06-23,14,6,Brandenburg,Brandenburg an der Havel,21.800000,False
Michendorf,2024-06-25 14:00:00,4.000000,13.030688,52.316344,0.166667,0.166667,14.000000,2024-06-25,14,1,Brandenburg,Michendorf,27.000000,False
Calau (Niederlausitz),2024-06-23 22:00:00,4.000000,13.979820,51.738118,0.000000,0.000000,22.000000,2024-06-23,22,6,Brandenburg,Calau ,14.450000,False
Waidmannslust,2024-06-26 02:00:00,4.000000,13.320996,52.606480,0.000000,0.500000,2.000000,2024-06-26,2,2,Berlin,Berlin,17.600000,False
Berlin Südkreuz,2024-06-24 05:00:00,1.000000,13.365319,52.475047,0.083333,0.333333,5.000000,2024-06-24,5,0,Berlin,Berlin,17.350000,False
Angermünde,2024-06-25 07:00:00,3.000000,13.996361,53.015221,0.166667,0.333333,7.000000,2024-06-25,7,1,Brandenburg,Angermünde,21.600000,False
Schönefeld (bei Berlin),2024-06-25 11:00:00,3.000000,13.512710,52.391062,0.266667,1.133333,11.000000,2024-06-25,11,1,Brandenburg,Schönefeld,25.200000,False
Feuerbachstraße,2024-06-23 13:00:00,5.000000,13.332575,52.463546,0.166667,0.333333,13.000000,2024-06-23,13,6,Berlin,Berlin,21.300000,False
Betriebsbahnhof Berlin-Rummelsburg,2024-06-27 15:00:00,4.000000,13.497786,52.493827,0.000000,0.000000,15.000000,2024-06-27,15,3,Berlin,Berlin,30.550000,False
Osdorferstraße,2024-06-24 06:00:00,5.000000,13.314288,52.418841,0.916667,0.916667,6.000000,2024-06-24,6,0,Berlin,Berlin,18.000000,False
Berlin-Schöneweide Pbf,2024-06-26 22:00:00,3.000000,13.509395,52.455127,0.000000,0.000000,22.000000,2024-06-26,22,2,Berlin,Berlin,24.300000,False
Wittenberge,2024-06-25 15:00:00,3.000000,11.762871,53.003115,0.000000,2.166667,15.000000,2024-06-25,15,1,Brandenburg,Wittenberge,27.700000,False
Berlin-Westkreuz,2024-06-27 12:00:00,3.000000,13.283966,52.500737,0.214286,0.160714,12.000000,2024-06-27,12,3,Berlin,Berlin,27.950000,False
Babelsberg,2024-06-27 00:00:00,4.000000,13.092871,52.391391,0.666667,0.833333,0.000000,2024-06-27,0,3,Brandenburg,Potsdam,21.650000,False
Ludwigsfelde,2024-06-23 19:00:00,4.000000,13.267319,52.298098,0.200000,0.800000,19.000000,2024-06-23,19,6,Brandenburg,Ludwigsfelde,19.200000,False
Eichwalde,2024-06-25 20:00:00,5.000000,13.615398,52.371352,0.000000,0.142857,20.000000,2024-06-25,20,1,Brandenburg,Eichwalde,19.800000,False
Berlin-Kaulsdorf,2024-06-27 07:00:00,4.000000,13.588940,52.512093,0.041667,0.000000,7.000000,2024-06-27,7,3,Berlin,Berlin,24.800000,False
Berlin-Neukölln,2024-06-24 01:00:00,3.000000,13.443060,52.469420,0.176471,0.117647,1.000000,2024-06-24,1,0,Berlin,Berlin,14.450000,False
Cottbus Hbf,2024-06-25 05:00:00,2.000000,14.324162,51.750957,0.000000,0.000000,5.000000,2024-06-25,5,1,Brandenburg,Cottbus,17.700000,False
Jüterbog,2024-06-26 20:00:00,4.000000,13.054353,51.997509,0.000000,0.000000,20.000000,2024-06-26,20,2,Brandenburg,Jüterbog,24.650000,False
Südende,2024-06-26 04:00:00,5.000000,13.353894,52.448457,0.000000,0.000000,4.000000,2024-06-26,4,2,Berlin,Berlin,18.450000,False
Strausberg,2024-06-27 05:00:00,4.000000,13.833498,52.532083,2.000000,0.500000,5.000000,2024-06-27,5,3,Brandenburg,Strausberg,22.050000,False
Berlin-Wannsee,2024-06-25 13:00:00,2.000000,13.179528,52.420972,0.200000,0.200000,13.000000,2024-06-25,13,1,Berlin,Berlin,26.450000,False
Julius-Leber-Brücke,2024-06-25 11:00:00,5.000000,13.361266,52.486519,0.583333,0.666667,11.000000,2024-06-25,11,1,Berlin,Berlin,24.950000,False
Berlin-Nordbahnhof,2024-06-25 12:00:00,4.000000,13.388464,52.532066,0.055556,0.055556,12.000000,2024-06-25,12,1,Berlin,Berlin,25.400000,False
Zossen,2024-06-25 12:00:00,5.000000,13.438571,52.218923,0.333333,0.333333,12.000000,2024-06-25,12,1,Brandenburg,Zossen,25.250000,False
Berlin-Pankow,2024-06-25 09:00:00,5.000000,13.410770,52.566477,0.200000,0.240000,9.000000,2024-06-25,9,1,Berlin,Berlin,24.900000,False
Berlin-Marzahn,2024-06-26 19:00:00,4.000000,13.541341,52.543608,0.000000,0.000000,19.000000,2024-06-26,19,2,Berlin,Berlin,24.250000,False
Jüterbog,2024-06-24 04:00:00,4.000000,13.054353,51.997509,0.000000,0.000000,4.000000,2024-06-24,4,0,Brandenburg,Jüterbog,13.800000,False
Borgsdorf,2024-06-26 17:00:00,5.000000,13.276750,52.715252,1.833333,2.000000,17.000000,2024-06-26,17,2,Brandenburg,Hohen Neuendorf OTBorgsdo,29.800000,False
Hoppegarten (Mark),2024-06-27 13:00:00,4.000000,13.672956,52.518122,0.111111,0.222222,13.000000,2024-06-27,13,3,Brandenburg,Hoppegarten,28.650000,False
Neustadt (Dosse),2024-06-23 15:00:00,5.000000,12.450667,52.852677,0.500000,0.500000,15.000000,2024-06-23,15,6,Brandenburg,Neustadt (Dosse),21.300000,False
Alexanderplatz,2024-06-24 05:00:00,3.000000,13.410961,52.521481,0.300000,0.300000,5.000000,2024-06-24,5,0,Berlin,Berlin,17.350000,False
Pichelsberg,2024-06-26 06:00:00,5.000000,13.227134,52.510393,0.166667,0.083333,6.000000,2024-06-26,6,2,Berlin,Berlin,21.000000,False
Hackescher Markt,2024-06-26 18:00:00,4.000000,13.402364,52.522622,0.285714,0.309524,18.000000,2024-06-26,18,2,Berlin,Berlin,28.700000,False
Altglienicke,2024-06-23 14:00:00,4.000000,13.558753,52.407299,0.166667,0.083333,14.000000,2024-06-23,14,6,Berlin,Berlin,22.600000,False
Messe Süd (Eichkamp),2024-06-25 17:00:00,5.000000,13.270118,52.498750,0.440000,0.520000,17.000000,2024-06-25,17,1,Berlin,Berlin,24.450000,False
Warschauer Straße,2024-06-23 20:00:00,4.000000,13.451646,52.505976,0.222222,0.244444,20.000000,2024-06-23,20,6,Berlin,Berlin,18.650000,False
Berlin-Charlottenburg,2024-06-27 07:00:00,3.000000,13.302330,52.504213,0.230769,0.307692,7.000000,2024-06-27,7,3,Berlin,Berlin,24.200000,False
Zeuthen,2024-06-26 02:00:00,5.000000,13.627173,52.348936,0.500000,0.000000,2.000000,2024-06-26,2,2,Brandenburg,Zeuthen,16.350000,False
Potsdam Park Sanssouci,2024-06-23 22:00:00,3.000000,13.014512,52.394108,0.000000,0.000000,22.000000,2024-06-23,22,6,Brandenburg,Potsdam,15.900000,False
Altglienicke,2024-06-26 10:00:00,4.000000,13.558753,52.407299,0.166667,0.083333,10.000000,2024-06-26,10,2,Berlin,Berlin,27.950000,False
Berlin-Westkreuz,2024-06-26 10:00:00,3.000000,13.283966,52.500737,0.366667,0.333333,10.000000,2024-06-26,10,2,Berlin,Berlin,28.550000,False
Dallgow-Döberitz,2024-06-24 21:00:00,5.000000,13.059037,52.543554,0.250000,0.250000,21.000000,2024-06-24,21,0,Brandenburg,Dallgow (b Berlin),16.500000,False
Baumschulenweg,2024-06-23 19:00:00,4.000000,13.490097,52.467244,0.138889,0.166667,19.000000,2024-06-23,19,6,Berlin,Berlin,19.850000,False
Babelsberg,2024-06-25 01:00:00,4.000000,13.092871,52.391391,0.000000,0.500000,1.000000,2024-06-25,1,1,Brandenburg,Potsdam,15.300000,False
Ludwigsfelde,2024-06-24 08:00:00,4.000000,13.267319,52.298098,0.400000,0.400000,8.000000,2024-06-24,8,0,Brandenburg,Ludwigsfelde,20.800000,False
Strausberg Stadt,2024-06-27 04:00:00,5.000000,13.888133,52.576980,0.000000,0.000000,4.000000,2024-06-27,4,3,Brandenburg,Strausberg,20.200000,False
Eichwalde,2024-06-25 21:00:00,5.000000,13.615398,52.371352,0.500000,0.666667,21.000000,2024-06-25,21,1,Brandenburg,Eichwalde,19.100000,False
Zossen,2024-06-25 23:00:00,5.000000,13.438571,52.218923,0.000000,0.000000,23.000000,2024-06-25,23,1,Brandenburg,Zossen,17.900000,False
Jannowitzbrücke,2024-06-24 10:00:00,4.000000,13.419347,52.514270,0.166667,0.166667,10.000000,2024-06-24,10,0,Berlin,Berlin,22.000000,False
Berlin-Wilhelmsruh,2024-06-24 01:00:00,4.000000,13.362976,52.581447,0.000000,0.000000,1.000000,2024-06-24,1,0,Berlin,Berlin,12.250000,False
Flughafen BER,2024-06-25 20:00:00,2.000000,13.511950,52.364804,0.428571,0.285714,20.000000,2024-06-25,20,1,Brandenburg,Schönefeld,19.800000,False
Westhafen,2024-06-25 13:00:00,4.000000,13.344253,52.536250,0.150000,0.000000,13.000000,2024-06-25,13,1,Berlin,Berlin,26.450000,False
Berlin-Wannsee,2024-06-26 07:00:00,2.000000,13.179528,52.420972,0.285714,0.357143,7.000000,2024-06-26,7,2,Berlin,Berlin,23.500000,False
Berlin-Köpenick,2024-06-26 06:00:00,4.000000,13.580942,52.458610,0.153846,0.076923,6.000000,2024-06-26,6,2,Berlin,Berlin,21.800000,False
Waidmannslust,2024-06-24 02:00:00,4.000000,13.320996,52.606480,0.000000,0.500000,2.000000,2024-06-24,2,0,Berlin,Berlin,12.150000,False
Fürstenberg (Havel),2024-06-24 15:00:00,5.000000,13.139273,53.186784,0.000000,0.000000,15.000000,2024-06-24,15,0,Brandenburg,Fürstenberg Havel,23.850000,False
Sundgauer Straße,2024-06-27 09:00:00,5.000000,13.274377,52.436544,0.318182,0.500000,9.000000,2024-06-27,9,3,Berlin,Berlin,23.750000,True
Berlin-Lichtenberg,2024-06-27 11:00:00,2.000000,13.496693,52.510135,0.444444,1.000000,11.000000,2024-06-27,11,3,Berlin,Berlin,28.700000,False
Lichterfelde Süd,2024-06-27 04:00:00,5.000000,13.309040,52.410899,0.000000,0.200000,4.000000,2024-06-27,4,3,Berlin,Berlin,21.550000,False
Jannowitzbrücke,2024-06-25 21:00:00,4.000000,13.419347,52.514270,0.585366,0.585366,21.000000,2024-06-25,21,1,Berlin,Berlin,20.200000,False
Heidelberger Platz,2024-06-25 05:00:00,4.000000,13.312018,52.479972,0.153846,0.153846,5.000000,2024-06-25,5,1,Berlin,Berlin,16.600000,False
Beusselstraße,2024-06-24 14:00:00,4.000000,13.329042,52.534354,0.000000,0.125000,14.000000,2024-06-24,14,0,Berlin,Berlin,24.400000,False
Lichtenrade,2024-06-24 21:00:00,5.000000,13.396175,52.387297,0.111111,0.000000,21.000000,2024-06-24,21,0,Berlin,Berlin,17.300000,False
Plänterwald,2024-06-24 21:00:00,4.000000,13.473126,52.478542,0.000000,0.117647,21.000000,2024-06-24,21,0,Berlin,Berlin,18.300000,False
Osdorferstraße,2024-06-23 22:00:00,5.000000,13.314288,52.418841,1.333333,1.333333,22.000000,2024-06-23,22,6,Berlin,Berlin,15.300000,False
Südende,2024-06-23 23:00:00,5.000000,13.353894,52.448457,0.166667,0.166667,23.000000,2024-06-23,23,6,Berlin,Berlin,15.750000,False
Lübbenau (Spreewald),2024-06-25 23:00:00,4.000000,13.960900,51.862169,2.000000,2.000000,23.000000,2024-06-25,23,1,Brandenburg,Lübbenau ,18.550000,False
Mehrower Allee,2024-06-23 13:00:00,5.000000,13.553699,52.557759,0.000000,0.083333,13.000000,2024-06-23,13,6,Berlin,Berlin,21.450000,False
Berlin-Adlershof,2024-06-24 07:00:00,4.000000,13.541129,52.435031,0.096774,0.129032,7.000000,2024-06-24,7,0,Berlin,Berlin,19.500000,False
Jüterbog,2024-06-26 05:00:00,4.000000,13.054353,51.997509,0.200000,0.400000,5.000000,2024-06-26,5,2,Brandenburg,Jüterbog,19.400000,False
Senftenberg,2024-06-23 16:00:00,5.000000,14.003905,51.526941,0.500000,0.500000,16.000000,2024-06-23,16,6,Brandenburg,Senftenberg,22.450000,False
Alexanderplatz,2024-06-26 04:00:00,3.000000,13.410961,52.521481,0.166667,0.166667,4.000000,2024-06-26,4,2,Berlin,Berlin,18.450000,False
Zeuthen,2024-06-27 04:00:00,5.000000,13.627173,52.348936,0.166667,0.000000,4.000000,2024-06-27,4,3,Brandenburg,Zeuthen,21.550000,False
Osdorferstraße,2024-06-26 14:00:00,5.000000,13.314288,52.418841,1.416667,1.166667,14.000000,2024-06-26,14,2,Berlin,Berlin,30.750000,False
Berlin-Pankow,2024-06-24 08:00:00,5.000000,13.410770,52.566477,0.160000,0.120000,8.000000,2024-06-24,8,0,Berlin,Berlin,20.750000,False
Berlin Ostkreuz,2024-06-26 10:00:00,2.000000,13.469105,52.503037,0.947368,0.736842,10.000000,2024-06-26,10,2,Berlin,Berlin,28.550000,False
Wilhelmshorst,2024-06-27 15:00:00,5.000000,13.067447,52.331486,1.000000,1.400000,15.000000,2024-06-27,15,3,Brandenburg,Michendorf,27.800000,False
Berlin-Schönholz,2024-06-26 21:00:00,4.000000,13.381111,52.571422,0.409091,0.272727,21.000000,2024-06-26,21,2,Berlin,Berlin,22.100000,False
Oranienburger Straße,2024-06-25 05:00:00,4.000000,13.393052,52.525210,0.096774,0.096774,5.000000,2024-06-25,5,1,Berlin,Berlin,18.050000,False
Berlin-Lichterfelde Ost,2024-06-24 21:00:00,3.000000,13.328556,52.429451,0.000000,0.000000,21.000000,2024-06-24,21,0,Berlin,Berlin,16.500000,False
Guben,2024-06-24 00:00:00,5.000000,14.706775,51.957203,0.000000,0.000000,0.000000,2024-06-24,0,0,Brandenburg,Guben,12.000000,False
Strausberg,2024-06-25 12:00:00,4.000000,13.833498,52.532083,1.000000,1.000000,12.000000,2024-06-25,12,1,Brandenburg,Strausberg,24.400000,False
Plänterwald,2024-06-24 22:00:00,4.000000,13.473126,52.478542,0.615385,0.692308,22.000000,2024-06-24,22,0,Berlin,Berlin,17.100000,False
Wildau,2024-06-26 21:00:00,5.000000,13.633779,52.319935,0.333333,0.333333,21.000000,2024-06-26,21,2,Brandenburg,Wildau,23.550000,False
Gransee,2024-06-25 18:00:00,5.000000,13.167120,53.001076,0.000000,0.000000,18.000000,2024-06-25,18,1,Brandenburg,Gransee,23.200000,False
Raoul-Wallenberg-Straße,2024-06-24 20:00:00,5.000000,13.547460,52.550681,0.076923,0.153846,20.000000,2024-06-24,20,0,Berlin,Berlin,17.950000,False
Falkenberg (Elster),2024-06-27 10:00:00,3.000000,13.247685,51.583620,0.000000,0.666667,10.000000,2024-06-27,10,3,Brandenburg,Falkenberg (Elster),26.550000,False
Berlin-Hermsdorf,2024-06-23 18:00:00,4.000000,13.307690,52.617782,0.000000,0.000000,18.000000,2024-06-23,18,6,Berlin,Berlin,20.100000,False
Johannisthal,2024-06-23 16:00:00,4.000000,13.523680,52.446905,0.083333,0.083333,16.000000,2024-06-23,16,6,Berlin,Berlin,22.500000,False
Berlin-Köpenick,2024-06-24 06:00:00,4.000000,13.580942,52.458610,0.076923,0.076923,6.000000,2024-06-24,6,0,Berlin,Berlin,19.100000,False
Prenzlauer Allee,2024-06-24 04:00:00,4.000000,13.426412,52.544615,0.000000,0.058824,4.000000,2024-06-24,4,0,Berlin,Berlin,15.550000,False
Greifswalder Straße,2024-06-26 10:00:00,4.000000,13.439561,52.540020,0.088235,0.176471,10.000000,2024-06-26,10,2,Berlin,Berlin,28.550000,False
Rathenow,2024-06-27 14:00:00,4.000000,12.354840,52.599640,0.000000,0.800000,14.000000,2024-06-27,14,3,Brandenburg,Rathenow,29.550000,False
Berlin-Wannsee,2024-06-23 22:00:00,2.000000,13.179528,52.420972,1.333333,1.333333,22.000000,2024-06-23,22,6,Berlin,Berlin,15.300000,False
Borgsdorf,2024-06-24 09:00:00,5.000000,13.276750,52.715252,1.500000,1.500000,9.000000,2024-06-24,9,0,Brandenburg,Hohen Neuendorf OTBorgsdo,20.800000,False
Stresow,2024-06-25 17:00:00,5.000000,13.209125,52.531976,0.166667,0.333333,17.000000,2024-06-25,17,1,Berlin,Berlin,24.450000,False
Julius-Leber-Brücke,2024-06-24 21:00:00,5.000000,13.361266,52.486519,0.083333,0.166667,21.000000,2024-06-24,21,0,Berlin,Berlin,18.300000,False
Hirschgarten,2024-06-25 04:00:00,5.000000,13.602134,52.457968,0.000000,0.000000,4.000000,2024-06-25,4,1,Berlin,Berlin,15.250000,False
Gransee,2024-06-26 14:00:00,5.000000,13.167120,53.001076,1.000000,1.500000,14.000000,2024-06-26,14,2,Brandenburg,Gransee,29.700000,False
Berlin-Adlershof,2024-06-27 13:00:00,4.000000,13.541129,52.435031,0.258065,0.290323,13.000000,2024-06-27,13,3,Berlin,Berlin,28.850000,False
Jungfernheide,2024-06-25 05:00:00,4.000000,13.299437,52.530276,0.666667,0.666667,5.000000,2024-06-25,5,1,Berlin,Berlin,16.600000,False
Südende,2024-06-25 12:00:00,5.000000,13.353894,52.448457,0.333333,0.416667,12.000000,2024-06-25,12,1,Berlin,Berlin,25.400000,False
Potsdam Medienstadt Babelsberg,2024-06-25 15:00:00,5.000000,13.122284,52.382659,0.000000,0.400000,15.000000,2024-06-25,15,1,Brandenburg,Potsdam,26.500000,False
Priesterweg,2024-06-24 07:00:00,4.000000,13.356281,52.459914,0.166667,0.166667,7.000000,2024-06-24,7,0,Berlin,Berlin,20.050000,False
Calau (Niederlausitz),2024-06-24 09:00:00,4.000000,13.979820,51.738118,0.000000,0.000000,9.000000,2024-06-24,9,0,Brandenburg,Calau ,22.600000,False
Ahrensfelde,2024-06-23 13:00:00,4.000000,13.565154,52.571375,0.000000,0.500000,13.000000,2024-06-23,13,6,Berlin,Berlin,21.450000,False
Neupetershain,2024-06-26 08:00:00,5.000000,14.161703,51.606324,0.000000,0.000000,8.000000,2024-06-26,8,2,Brandenburg,Neupetershain,26.300000,False
Berlin-Friedrichshagen,2024-06-26 19:00:00,4.000000,13.624600,52.457247,0.583333,0.750000,19.000000,2024-06-26,19,2,Berlin,Berlin,25.900000,False
Potsdam Charlottenhof,2024-06-24 11:00:00,4.000000,13.036496,52.392800,0.916667,0.916667,11.000000,2024-06-24,11,0,Brandenburg,Potsdam,22.500000,False
Westend,2024-06-27 00:00:00,4.000000,13.284638,52.518070,0.000000,0.000000,0.000000,2024-06-27,0,3,Berlin,Berlin,21.600000,False
Berlin-Rummelsburg,2024-06-26 20:00:00,4.000000,13.478362,52.501309,0.833333,0.916667,20.000000,2024-06-26,20,2,Berlin,Berlin,25.600000,False
Berlin-Neukölln,2024-06-24 07:00:00,3.000000,13.443060,52.469420,0.119048,0.095238,7.000000,2024-06-24,7,0,Berlin,Berlin,20.050000,False
Rathaus Steglitz,2024-06-26 22:00:00,4.000000,13.322948,52.455833,0.416667,0.583333,22.000000,2024-06-26,22,2,Berlin,Berlin,23.300000,False
Berlin-Frohnau,2024-06-24 20:00:00,4.000000,13.289934,52.632758,0.222222,0.222222,20.000000,2024-06-24,20,0,Berlin,Berlin,18.300000,False
Heerstraße,2024-06-24 14:00:00,5.000000,13.259379,52.508121,0.083333,0.250000,14.000000,2024-06-24,14,0,Berlin,Berlin,24.400000,False
Prenzlau,2024-06-27 05:00:00,4.000000,13.866532,53.321608,0.000000,0.000000,5.000000,2024-06-27,5,3,Brandenburg,Prenzlau,22.950000,False
Grünbergallee,2024-06-27 08:00:00,5.000000,13.542485,52.399411,0.083333,0.083333,8.000000,2024-06-27,8,3,Berlin,Berlin,22.750000,True
Falkensee,2024-06-24 02:00:00,5.000000,13.089636,52.559772,0.000000,0.000000,2.000000,2024-06-24,2,0,Brandenburg,Falkensee,12.700000,False
Calau (Niederlausitz),2024-06-26 00:00:00,4.000000,13.979820,51.738118,0.000000,0.000000,0.000000,2024-06-26,0,2,Brandenburg,Calau ,17.950000,False
Pankow-Heinersdorf,2024-06-26 23:00:00,5.000000,13.429363,52.577963,0.473684,0.578947,23.000000,2024-06-26,23,2,Berlin,Berlin,20.450000,False
